DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200906435,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1800,09,Van Nuys,0914,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1912,34,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,14900    SHERMAN                      WY,,34.2012,-118.4574
201114637,10/14/2020 12:00:00 AM,10/13/2020 12:00:00 AM,2200,11,Northeast,1184,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600    ECHO PARK                    AV,,34.0815,-118.2546
200414361,10/28/2020 12:00:00 AM,10/15/2020 12:00:00 AM,1200,04,Hollenbeck,0487,2,354,THEFT OF IDENTITY,0100,49,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 S  FICKETT                      ST,,34.0273,-118.2176
200911049,06/15/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1025,09,Van Nuys,0963,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,35,F,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,KESTER                       AV,MAGNOLIA                     BL,34.1649,-118.4574
200312753,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,0720,03,Southwest,0353,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1309 0342 2021 0104,19,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,3700    CRENSHAW                     BL,,34.0191,-118.3351
200517895,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,2125,05,Harbor,0526,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0443 0913,40,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,,,900 N  FRIES                        AV,,33.7815,-118.265
200321494,12/08/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1700,03,Southwest,0315,1,330,BURGLARY FROM VEHICLE,1609 0344 1822,67,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,W  24TH                         ST,ARLINGTON                    AV,34.0349,-118.3177
201012706,09/03/2020 12:00:00 AM,07/27/2020 12:00:00 AM,0700,10,West Valley,1008,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,46,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,845,,,,8100 N  BALBOA                       PL,,34.2179,-118.5014
201111473,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,1134,11,Northeast,1117,2,661,UNAUTHORIZED COMPUTER ACCESS,1904 1914 1822 1911,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,661,,,,4600    ELLENWOOD                    DR,,34.1293,-118.219
200310910,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,1130,03,Southwest,0395,2,624,BATTERY - SIMPLE ASSAULT,0416 0444 0913,29,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1800 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.3113
200609150,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,06,Hollywood,0648,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,26,F,O,104,DRIVEWAY,,,IC,Invest Cont,420,,,,1500 N  SAINT ANDREWS                PL,,34.0981,-118.3114
200118692,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,0410,01,Central,0185,1,210,ROBBERY,0344 0334 1311 1302 1822 1218 0302 1309 2024 0916,29,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,210,,,,BROADWAY,PICO,34.0377,-118.2607
